forcing_observation_id,event_id,source_station_id,source_date_yyyymmdd,source_hour_utc,interval_start_utc,interval_end_utc,wind_direction_deg,wind_hourly_mean_0_1_ms,wind_mean_0_1_ms,wind_gust_0_1_ms,air_temperature_0_1_c,min_air_temperature_10cm_0_1_c,dewpoint_temperature_0_1_c,sunshine_duration_0_1_h,global_radiation_j_cm2,precipitation_duration_0_1_h,precipitation_amount_0_1_mm,sea_level_pressure_0_1_hpa,visibility_code,cloud_cover_octants,relative_humidity_pct,present_weather_code,weather_station_type,fog_indicator,rain_indicator,snow_indicator,thunder_indicator,ice_indicator
OBS_EVT_TOL_1998_OCT_0001,EVT_TOL_1998_OCT,273,19981024,1,1998-10-24T00:00:00Z,1998-10-24T01:00:00Z,210,30,30,40,94,,92,0,0,0,0,,65,,99,,,,,,,
OBS_EVT_TOL_1998_OCT_0002,EVT_TOL_1998_OCT,273,19981024,2,1998-10-24T01:00:00Z,1998-10-24T02:00:00Z,220,30,30,50,96,,94,0,0,0,0,,62,,99,,,,,,,
OBS_EVT_TOL_1998_OCT_0003,EVT_TOL_1998_OCT,273,19981024,3,1998-10-24T02:00:00Z,1998-10-24T03:00:00Z,210,30,30,50,85,,83,0,0,0,0,,50,,99,,,,,,,
OBS_EVT_TOL_1998_OCT_0004,EVT_TOL_1998_OCT,273,19981024,4,1998-10-24T03:00:00Z,1998-10-24T04:00:00Z,220,20,20,40,77,,75,0,0,0,0,,22,,99,,,,,,,
OBS_EVT_TOL_1998_OCT_0005,EVT_TOL_1998_OCT,273,19981024,5,1998-10-24T04:00:00Z,1998-10-24T05:00:00Z,210,20,30,40,96,,95,0,0,0,0,,39,,99,,,,,,,
OBS_EVT_TOL_1998_OCT_0006,EVT_TOL_1998_OCT,273,19981024,6,1998-10-24T05:00:00Z,1998-10-24T06:00:00Z,220,20,20,40,96,63,96,0,0,0,0,,28,,100,,,,,,,
OBS_EVT_TOL_1998_OCT_0007,EVT_TOL_1998_OCT,273,19981024,7,1998-10-24T06:00:00Z,1998-10-24T07:00:00Z,250,10,10,30,96,,96,0,3,0,0,,19,,100,,,,,,,
OBS_EVT_TOL_1998_OCT_0008,EVT_TOL_1998_OCT,273,19981024,8,1998-10-24T07:00:00Z,1998-10-24T08:00:00Z,240,20,20,40,102,,102,0,15,0,0,,3,,100,,,,,,,
OBS_EVT_TOL_1998_OCT_0009,EVT_TOL_1998_OCT,273,19981024,9,1998-10-24T08:00:00Z,1998-10-24T09:00:00Z,220,20,20,50,111,,111,0,41,0,0,,62,,100,,,,,,,
OBS_EVT_TOL_1998_OCT_0010,EVT_TOL_1998_OCT,273,19981024,10,1998-10-24T09:00:00Z,1998-10-24T10:00:00Z,200,40,50,70,119,,117,3,66,0,0,,61,,99,,,,,,,
OBS_EVT_TOL_1998_OCT_0011,EVT_TOL_1998_OCT,273,19981024,11,1998-10-24T10:00:00Z,1998-10-24T11:00:00Z,190,50,70,90,120,,111,0,63,0,0,,58,,94,,,,,,,
OBS_EVT_TOL_1998_OCT_0012,EVT_TOL_1998_OCT,273,19981024,12,1998-10-24T11:00:00Z,1998-10-24T12:00:00Z,190,70,70,110,119,79,105,1,47,0,0,,58,,91,,,,,,,
OBS_EVT_TOL_1998_OCT_0013,EVT_TOL_1998_OCT,273,19981024,13,1998-10-24T12:00:00Z,1998-10-24T13:00:00Z,190,80,80,140,115,,92,0,35,0,0,,58,,86,,,,,,,
OBS_EVT_TOL_1998_OCT_0014,EVT_TOL_1998_OCT,273,19981024,14,1998-10-24T13:00:00Z,1998-10-24T14:00:00Z,180,90,80,150,111,,85,0,32,0,0,,58,,84,,,,,,,
OBS_EVT_TOL_1998_OCT_0015,EVT_TOL_1998_OCT,273,19981024,15,1998-10-24T14:00:00Z,1998-10-24T15:00:00Z,170,90,90,150,111,,83,0,18,0,0,,71,,83,,,,,,,
